stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
71190,,WEST LK SAMMAMISH PKWY NE & NE 27TH ST,,47.6339912,-122.091209,19,,,
71210,,NE 24TH ST & 186TH AVE NE,,47.6311913,-122.090714,19,,,
71220,,NE 24TH ST & 185TH PL NE,,47.6312065,-122.093132,19,,,
71230,,NE 24TH ST & 182ND AVE NE,,47.6312294,-122.096481,19,,,
71240,,NE 24TH ST & 180TH AVE NE,,47.6312485,-122.100082,19,,,
71250,,NE 24TH ST & 175TH AVE NE,,47.6312904,-122.106926,19,,,
71260,,NE 24TH ST & 173RD AVE NE,,47.6313019,-122.109856,19,,,
71270,,NE 24TH ST & 169TH AVE NE,,47.6313438,-122.113815,19,,,
71280,,NE 24TH ST & 167TH AVE NE,,47.6313858,-122.118073,19,,,
71290,,NE 24TH ST & 164TH AVE NE,,47.6314163,-122.121078,19,,,
71300,,NE 24TH ST & 162ND AVE NE,,47.6314735,-122.124069,19,,,
71310,,NE 24TH ST & 160TH AVE NE,,47.6315575,-122.1278,19,,,
71320,,NE 24TH ST & 156TH AVE NE,,47.6316414,-122.131241,19,,,
71322,,NE 24TH ST & NE BELLEVUE REDMOND RD,,47.6316528,-122.134438,19,,,
71325,,NE 40TH ST & 150TH AVE NE,,47.6459274,-122.137733,19,,,
71326,,OVERLAKE P&R,,47.6335258,-122.137596,19,,,
71327,,NE 40TH ST & 150TH AVE NE,,47.6460304,-122.140671,19,,,
71328,,OVERLAKE P&R,,47.6331596,-122.136055,19,,,
71329,,NE 40TH ST & SR 520 RAMP,,47.6460609,-122.137802,19,,,
71333,,OVERLAKE TC,,47.6437225,-122.133263,19,,,
71334,,OVERLAKE TC,,47.6433258,-122.1334,19,,,
71335,,SR 520 & NE 40TH ST,,47.6456108,-122.135437,19,,,
71336,,SR 520 RAMP & NE 40TH ST,,47.6446686,-122.133759,19,,,
71340,,NE 24TH ST & 148TH AVE NE,,47.6315765,-122.141792,19,,,
71341,,SR 520 & NE 51ST ST,,47.6525917,-122.138237,19,,,
71342,,SR 520 & 92ND AVE NE,,47.6401062,-122.219162,19,,,
71343,,SR 520 & EVERGREEN PT RD,,47.6372299,-122.236938,19,,,
71344,,MONTLAKE FRWY STA,,47.6445503,-122.302727,21,,,
71350,,MONTLAKE FRWY STA,,47.6441612,-122.303802,21,,,
71351,,SR 520 & EVERGREEN PT RD,,47.6367416,-122.236786,19,,,
71352,,SR 520 & 92ND AVE NE,,47.6405907,-122.216896,19,,,
71353,,SR 520 & NE 51ST ST,,47.6549263,-122.136627,19,,,
71360,,NE 24TH ST & 148TH AVE NE,,47.6314392,-122.141914,19,,,
71370,,NE 24TH ST & 152ND AVE NE,,47.6314888,-122.137283,19,,,
71380,,NE 24TH ST & 164TH AVE NE,,47.631279,-122.120918,19,,,
71390,,NE 24TH ST & 167TH AVE NE,,47.6312408,-122.117622,19,,,
71400,,NE 24TH ST & 171ST AVE NE,,47.6311913,-122.112732,19,,,
71410,,NE 24TH ST & 173RD AVE NE,,47.6311607,-122.109634,19,,,
71420,,NE 24TH ST & 175TH AVE NE,,47.6311531,-122.106476,19,,,
71430,,NE 24TH ST & 180TH PL NE,,47.6311035,-122.099304,19,,,
71440,,NE 24TH ST & 182ND AVE NE,,47.6310959,-122.097122,19,,,
71450,,NE 24TH ST & 184TH AVE NE,,47.631073,-122.094017,19,,,
71460,,NE 24TH ST & 186TH AVE NE,,47.6310577,-122.091904,19,,,
71470,,WEST LK SAMMAMISH PKWY NE & NE 24TH ST,,47.6316681,-122.088692,19,,,
71480,,WEST LK SAMMAMISH PKWY NE & NE 27TH ST,,47.6344681,-122.091469,19,,,
71490,,WEST LK SAMMAMISH PKWY NE & NE 27TH ST,,47.6363525,-122.093513,19,,,
71500,,WEST LK SAMMAMISH PKWY NE & 180TH AVE NE,,47.6390419,-122.097847,19,,,
71510,,WEST LK SAMMAMISH PKWY NE & 180TH AVE NE,,47.640213,-122.100113,19,,,
71520,,WEST LK SAMMAMISH PKWY NE & 177TH AVE NE,,47.6424294,-122.104118,19,,,
71530,,WEST LK SAMMAMISH PKWY NE & NE 40TH ST,,47.6463966,-122.107857,19,,,
71540,,WEST LK SAMMAMISH PKWY NE & NE 45TH ST,,47.6496925,-122.11174,19,,,
71542,,WEST LK SAMMAMISH PKWY NE & NE BELLEVUE REDMOND RD,,47.6508865,-122.116028,19,,,
71544,,WEST LK SAMMAMISH PKWY NE & NE 48TH ST,,47.65242,-122.116898,19,,,
71546,,WEST LK SAMMAMISH PKWY NE & NE 51ST ST,,47.6575394,-122.120834,19,,,
71650,,156TH AVE SE & SE 8TH ST,,47.6028976,-122.130737,19,,,
71652,,156TH AVE SE & SE 10TH ST,,47.6011009,-122.131378,19,,,
71654,,156TH AVE SE & SE 16TH ST,,47.5956955,-122.131897,19,,,
71656,,156TH AVE SE & SE 20TH PL,,47.5925674,-122.131966,19,,,
71658,,SE 24TH ST & 156TH AVE SE,,47.588974,-122.13205,19,,,
71660,,SE 24TH ST & 158TH AVE SE,,47.5889473,-122.128075,19,,,
71662,,161ST AVE SE & SE 24TH ST,,47.5887222,-122.12178,19,,,
71664,,161ST AVE SE & SE 28TH PL,,47.5854263,-122.123375,19,,,
71666,,161ST AVE SE & SE 31ST ST,,47.5825615,-122.126877,19,,,
71668,,161ST AVE SE & SE 33RD PL,,47.5802765,-122.128799,19,,,
71670,,161ST AVE SE & SE 33RD PL,,47.5803604,-122.128593,19,,,
71672,,161ST AVE SE & SE 31ST ST,,47.5822411,-122.127075,19,,,
71674,,161ST AVE SE & SE 28TH PL,,47.5850945,-122.123459,19,,,
71676,,161ST AVE SE & SE 24TH ST,,47.5889168,-122.121559,19,,,
71678,,SE 24TH ST & 158TH AVE SE,,47.5890808,-122.127991,19,,,
71680,,SE 24TH ST & 156TH AVE SE,,47.5891037,-122.132309,19,,,
71682,,156TH AVE SE & SE 20TH PL,,47.5926018,-122.131767,19,,,
71684,,156TH AVE SE & SE 16TH ST,,47.5961914,-122.131683,19,,,
71686,,156TH AVE SE & SE 10TH ST,,47.6015282,-122.130836,19,,,
71825,,AVONDALE RD NE & NE 140TH PL,,47.7263451,-122.084595,19,,,
71826,,AVONDALE RD NE & NE 132ND ST,,47.7176399,-122.08802,19,,,
71827,,AVONDALE RD NE & NE 128TH WAY,,47.7152214,-122.08873,40,,,
71829,,AVONDALE RD NE & TOLT PIPELINE TRL,,47.7363968,-122.080414,40,,,
71830,,AVONDALE PL NE & AVONDALE RD NE,,47.7074699,-122.089264,40,,,
71831,,AVONDALE RD NE & NE 155TH ST,,47.7402191,-122.080276,40,,,
71832,,AVONDALE RD NE & NE 159TH ST,,47.7431793,-122.080948,40,,,
71833,,AVONDALE RD NE & NE 165TH ST,,47.7477684,-122.081863,40,,,
71834,,AVONDALE RD NE & NE 168TH ST,,47.7506866,-122.081314,40,,,
71835,,AVONDALE RD NE & NE 172ND ST,,47.7523193,-122.081017,40,,,
71836,,AVONDALE RD NE & NE 146TH WAY,,47.7329483,-122.081757,19,,,
71838,,AVONDALE RD NE & NE 140TH PL,,47.7265892,-122.084297,19,,,
